scenario_id,country,gold,story_words,rot_words,cluster,mean_correct,qwen7_gemma4::gemma4,qwen7_gemma4::qwen7,qwen7_ollama_llama3_8b::ollama_llama3_8b,qwen7_ollama_llama3_8b::qwen7,qwen7_qwen15::qwen15,qwen7_qwen15::qwen7,single_gemma4::gemma4,single_ollama_llama3_8b::ollama_llama3_8b,single_qwen7::qwen
f29718751d196826,united_states_of_america,no,20,16,0,0.6666666666666666,1,1,1,1,0,1,0,0,1
f2d6e6607e130be9,united_kingdom,neutral,30,17,3,0.375,0,0,1,0,1,0,0,-1,1
f338eed2f76ea0f3,cyprus,no,50,17,4,0.625,1,1,1,1,0,1,0,-1,0
f341aa47994190b3,zimbabwe,yes,28,20,2,1.0,1,1,1,1,1,1,1,1,1
f34e69a89a70ba89,ethiopia,no,54,17,4,0.5,1,1,1,1,0,0,0,-1,0
f34f03b1fed10030,romania,no,40,23,0,0.875,1,1,1,1,0,1,1,-1,1
f36ba2645a213405,egypt,yes,26,19,2,0.7777777777777778,1,1,1,1,1,1,1,0,0
f378af6678ee900b,hungary,neutral,43,23,1,0.375,0,1,0,1,0,1,0,-1,0
f39dc24f404aec36,iran,no,46,21,4,0.625,1,1,1,1,0,1,0,-1,0
f3c19c77e4b25eb0,sudan,neutral,31,15,4,0.5,1,1,1,0,0,1,0,-1,0
f3f584e97dc6d297,bosnia_and_herzegovina,no,35,15,1,0.5,1,1,0,1,0,1,0,-1,0
f4181208e2ebf338,italy,yes,39,17,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
f420b48f55612ae4,mexico,yes,31,10,2,0.6666666666666666,1,1,0,0,1,1,1,1,0
f425e177189686f6,france,neutral,43,15,3,0.375,1,0,0,0,1,0,0,-1,1
f4369f6236b0853b,israel,no,42,12,4,0.625,1,1,1,1,0,1,0,-1,0
f441c71068c16672,sudan,neutral,31,28,3,0.125,0,0,0,0,0,0,0,-1,1
f44c9b232e934e68,somalia,neutral,39,18,3,0.375,1,0,0,0,1,0,0,-1,1
f44f6c1c1d4a698c,austria,neutral,43,19,3,0.0,0,0,0,0,0,0,0,-1,0
f458d2950424d521,france,no,59,17,4,0.625,1,1,1,1,0,1,0,-1,0
