model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,2633,0.085074,0.008735,0.804406,0.753513,-0.050893
gemma4,2633,0.137866,0.115837,0.677554,0.787315,0.109761
