model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen15,hong_kong,35,0.714286,0.514286,0.428571,0.4,-0.028571
qwen15,hungary,36,0.805556,0.5,0.361111,0.222222,-0.138889
qwen15,india,29,0.758621,0.586207,0.413793,0.37931,-0.034483
qwen15,indonesia,26,0.846154,0.615385,0.346154,0.384615,0.038462
qwen15,iran,44,0.727273,0.590909,0.386364,0.409091,0.022727
qwen15,iraq,34,0.823529,0.705882,0.441176,0.411765,-0.029412
qwen15,ireland,41,0.682927,0.560976,0.390244,0.439024,0.04878
qwen15,israel,42,0.738095,0.619048,0.404762,0.357143,-0.047619
qwen15,italy,34,0.764706,0.529412,0.411765,0.382353,-0.029412
qwen15,japan,35,0.714286,0.485714,0.342857,0.542857,0.2
qwen15,kenya,33,0.636364,0.484848,0.515152,0.484848,-0.030303
qwen15,laos,33,0.757576,0.515152,0.454545,0.454545,0.0
qwen15,lebanon,26,0.615385,0.269231,0.307692,0.576923,0.269231
qwen15,malaysia,34,0.852941,0.647059,0.441176,0.411765,-0.029412
qwen15,malta,36,0.666667,0.416667,0.444444,0.416667,-0.027778
qwen15,mauritius,40,0.775,0.5,0.375,0.475,0.1
qwen15,mexico,34,0.676471,0.588235,0.411765,0.588235,0.176471
qwen15,myanmar,45,0.733333,0.444444,0.377778,0.666667,0.288889
qwen15,nepal,37,0.756757,0.459459,0.378378,0.432432,0.054054
qwen15,netherlands,36,0.666667,0.5,0.416667,0.416667,0.0
qwen15,new_zealand,42,0.785714,0.666667,0.428571,0.428571,0.0
qwen15,north_macedonia,34,0.764706,0.441176,0.352941,0.441176,0.088235
qwen15,pakistan,35,0.685714,0.514286,0.457143,0.228571,-0.228571
qwen15,palestinian_territories,34,0.676471,0.441176,0.529412,0.5,-0.029412
qwen15,papua_new_guinea,34,0.705882,0.529412,0.441176,0.382353,-0.058824
qwen15,peru,32,0.6875,0.4375,0.375,0.46875,0.09375
qwen15,philippines,32,0.6875,0.4375,0.4375,0.5,0.0625
qwen15,poland,35,0.657143,0.514286,0.485714,0.4,-0.085714
qwen15,portugal,45,0.733333,0.488889,0.311111,0.533333,0.222222
qwen15,romania,36,0.583333,0.333333,0.5,0.361111,-0.138889
qwen15,russia,35,0.8,0.571429,0.4,0.571429,0.171429
qwen15,samoa,36,0.722222,0.361111,0.416667,0.472222,0.055556
qwen15,saudi_arabia,44,0.795455,0.477273,0.340909,0.409091,0.068182
qwen15,serbia,39,0.717949,0.487179,0.384615,0.487179,0.102564
qwen15,singapore,31,0.677419,0.548387,0.548387,0.419355,-0.129032
qwen15,somalia,45,0.755556,0.422222,0.377778,0.377778,0.0
qwen15,south_africa,36,0.638889,0.5,0.333333,0.5,0.166667
qwen15,south_korea,27,0.740741,0.555556,0.37037,0.62963,0.259259
qwen15,south_sudan,27,0.666667,0.444444,0.407407,0.37037,-0.037037
qwen15,spain,34,0.647059,0.411765,0.470588,0.411765,-0.058824
qwen15,sri_lanka,35,0.8,0.542857,0.542857,0.371429,-0.171429
qwen15,sudan,48,0.916667,0.604167,0.333333,0.291667,-0.041667
qwen15,sweden,34,0.529412,0.382353,0.382353,0.617647,0.235294
qwen15,syria,18,0.833333,0.555556,0.333333,0.111111,-0.222222
qwen15,taiwan,32,0.78125,0.625,0.46875,0.40625,-0.0625
qwen15,thailand,39,0.871795,0.589744,0.358974,0.307692,-0.051282
qwen15,timor-leste,36,0.75,0.416667,0.388889,0.472222,0.083333
qwen15,tonga,35,0.714286,0.542857,0.428571,0.428571,0.0
qwen15,türkiye,35,0.685714,0.428571,0.371429,0.542857,0.171429
qwen15,ukraine,41,0.682927,0.463415,0.414634,0.414634,0.0
qwen15,united_kingdom,27,0.814815,0.62963,0.37037,0.296296,-0.074074
qwen15,united_states_of_america,42,0.690476,0.52381,0.357143,0.452381,0.095238
qwen15,venezuela,34,0.735294,0.588235,0.470588,0.470588,0.0
qwen15,vietnam,36,0.777778,0.638889,0.444444,0.416667,-0.027778
qwen15,zimbabwe,34,0.617647,0.441176,0.382353,0.617647,0.235294
