model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,2633,0.214204,0.085454,0.606153,0.731105,0.124953
qwen15,2633,0.727307,0.510824,0.410179,0.432586,0.022408
