model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,croatia,35,0.228571,0.028571,0.771429,0.657143,-0.114286
qwen7,cyprus,35,0.057143,0.0,0.828571,0.771429,-0.057143
qwen7,egypt,35,0.171429,0.028571,0.885714,0.771429,-0.114286
qwen7,ethiopia,45,0.133333,0.022222,0.733333,0.644444,-0.088889
qwen7,fiji,21,0.047619,0.047619,0.904762,0.857143,-0.047619
qwen7,france,34,0.088235,0.0,0.852941,0.794118,-0.058824
qwen7,germany,43,0.162791,0.023256,0.813953,0.674419,-0.139535
qwen7,greece,34,0.235294,0.029412,0.852941,0.735294,-0.117647
qwen7,hong_kong,35,0.171429,0.028571,0.828571,0.657143,-0.171429
qwen7,hungary,36,0.222222,0.027778,0.888889,0.666667,-0.222222
qwen7,india,29,0.172414,0.103448,0.689655,0.724138,0.034483
qwen7,indonesia,26,0.038462,0.0,0.730769,0.692308,-0.038462
qwen7,iran,44,0.159091,0.068182,0.772727,0.636364,-0.136364
qwen7,iraq,34,0.147059,0.088235,0.735294,0.647059,-0.088235
qwen7,ireland,41,0.170732,0.04878,0.878049,0.707317,-0.170732
qwen7,israel,42,0.119048,0.047619,0.714286,0.595238,-0.119048
qwen7,italy,34,0.088235,0.0,0.823529,0.735294,-0.088235
qwen7,japan,35,0.085714,0.057143,0.714286,0.628571,-0.085714
qwen7,kenya,33,0.151515,0.060606,0.818182,0.69697,-0.121212
qwen7,laos,33,0.121212,0.030303,0.848485,0.787879,-0.060606
qwen7,lebanon,26,0.230769,0.0,0.846154,0.692308,-0.153846
qwen7,malaysia,34,0.147059,0.029412,0.794118,0.647059,-0.147059
qwen7,malta,36,0.194444,0.0,0.861111,0.722222,-0.138889
qwen7,mauritius,40,0.325,0.175,0.8,0.525,-0.275
qwen7,mexico,34,0.147059,0.058824,0.764706,0.676471,-0.088235
qwen7,myanmar,45,0.066667,0.022222,0.711111,0.688889,-0.022222
qwen7,nepal,37,0.081081,0.0,0.837838,0.756757,-0.081081
qwen7,netherlands,36,0.138889,0.0,0.805556,0.666667,-0.138889
qwen7,new_zealand,42,0.142857,0.047619,0.761905,0.666667,-0.095238
qwen7,north_macedonia,34,0.235294,0.088235,0.617647,0.735294,0.117647
qwen7,pakistan,35,0.171429,0.028571,0.942857,0.771429,-0.171429
qwen7,palestinian_territories,34,0.117647,0.058824,0.823529,0.823529,0.0
qwen7,papua_new_guinea,34,0.117647,0.029412,0.852941,0.794118,-0.058824
qwen7,peru,32,0.1875,0.0625,0.8125,0.6875,-0.125
qwen7,philippines,32,0.15625,0.0,0.90625,0.8125,-0.09375
qwen7,poland,35,0.171429,0.028571,0.857143,0.685714,-0.171429
qwen7,portugal,45,0.133333,0.044444,0.644444,0.6,-0.044444
qwen7,romania,36,0.138889,0.0,0.777778,0.666667,-0.111111
qwen7,russia,35,0.142857,0.085714,0.685714,0.657143,-0.028571
qwen7,samoa,36,0.111111,0.055556,0.861111,0.805556,-0.055556
qwen7,saudi_arabia,44,0.090909,0.022727,0.818182,0.772727,-0.045455
qwen7,serbia,39,0.128205,0.0,0.769231,0.692308,-0.076923
qwen7,singapore,31,0.16129,0.032258,0.903226,0.741935,-0.16129
qwen7,somalia,45,0.155556,0.0,0.844444,0.733333,-0.111111
qwen7,south_africa,36,0.083333,0.027778,0.777778,0.75,-0.027778
qwen7,south_korea,27,0.148148,0.037037,0.740741,0.62963,-0.111111
qwen7,south_sudan,27,0.222222,0.0,0.814815,0.666667,-0.148148
qwen7,spain,34,0.088235,0.058824,0.852941,0.852941,0.0
qwen7,sri_lanka,35,0.142857,0.0,0.857143,0.714286,-0.142857
qwen7,sudan,48,0.208333,0.020833,0.8125,0.6875,-0.125
qwen7,sweden,34,0.117647,0.058824,0.735294,0.647059,-0.088235
qwen7,syria,18,0.222222,0.055556,0.944444,0.722222,-0.222222
qwen7,taiwan,32,0.0625,0.0,0.75,0.6875,-0.0625
qwen7,thailand,39,0.205128,0.0,0.820513,0.615385,-0.205128
qwen7,timor-leste,36,0.194444,0.083333,0.861111,0.666667,-0.194444
qwen7,tonga,35,0.142857,0.085714,0.742857,0.657143,-0.085714
qwen7,türkiye,35,0.085714,0.0,0.857143,0.771429,-0.085714
qwen7,ukraine,41,0.170732,0.02439,0.878049,0.731707,-0.146341
qwen7,united_kingdom,27,0.148148,0.0,0.703704,0.666667,-0.037037
qwen7,united_states_of_america,42,0.071429,0.0,0.809524,0.738095,-0.071429
qwen7,venezuela,34,0.117647,0.058824,0.735294,0.735294,0.0
qwen7,vietnam,36,0.111111,0.027778,0.805556,0.694444,-0.111111
qwen7,zimbabwe,34,0.029412,0.029412,0.764706,0.794118,0.029412
