model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen3,2633,0.49981,0.0,0.697303,0.3327,-0.364603
qwen7,2633,0.156855,0.038739,0.807064,0.697303,-0.109761
