model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,2633,0.143562,0.01899,0.804406,0.712875,-0.091531
ollama_llama3_8b,2633,0.235473,0.00076,0.736802,0.668819,-0.067983
