model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen3,41,0.097561,0.0,0.902439,1.0,0.097561
qwen15,41,0.02439,0.0,0.97561,1.0,0.02439
