model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen15,portugal,45,0.088889,0.0,0.311111,0.311111,0.0
qwen15,romania,36,0.166667,0.0,0.5,0.361111,-0.138889
qwen15,russia,35,0.085714,0.0,0.4,0.371429,-0.028571
qwen15,samoa,36,0.083333,0.0,0.416667,0.388889,-0.027778
qwen15,saudi_arabia,44,0.045455,0.0,0.340909,0.340909,0.0
qwen15,serbia,39,0.102564,0.0,0.384615,0.307692,-0.076923
qwen15,singapore,31,0.193548,0.0,0.548387,0.387097,-0.16129
qwen15,somalia,45,0.111111,0.0,0.377778,0.333333,-0.044444
qwen15,south_africa,36,0.083333,0.0,0.333333,0.333333,0.0
qwen15,south_korea,27,0.037037,0.0,0.37037,0.333333,-0.037037
qwen15,south_sudan,27,0.148148,0.0,0.407407,0.333333,-0.074074
qwen15,spain,34,0.147059,0.0,0.470588,0.352941,-0.117647
qwen15,sri_lanka,35,0.228571,0.0,0.542857,0.342857,-0.2
qwen15,sudan,48,0.104167,0.0,0.333333,0.3125,-0.020833
qwen15,sweden,34,0.0,0.0,0.382353,0.382353,0.0
qwen15,syria,18,0.055556,0.0,0.333333,0.333333,0.0
qwen15,taiwan,32,0.125,0.0,0.46875,0.375,-0.09375
qwen15,thailand,39,0.051282,0.0,0.358974,0.307692,-0.051282
qwen15,timor-leste,36,0.111111,0.0,0.388889,0.333333,-0.055556
qwen15,tonga,35,0.228571,0.0,0.428571,0.4,-0.028571
qwen15,türkiye,35,0.028571,0.0,0.371429,0.342857,-0.028571
qwen15,ukraine,41,0.04878,0.0,0.414634,0.365854,-0.04878
qwen15,united_kingdom,27,0.037037,0.0,0.37037,0.333333,-0.037037
qwen15,united_states_of_america,42,0.071429,0.0,0.357143,0.333333,-0.02381
qwen15,venezuela,34,0.117647,0.0,0.470588,0.382353,-0.088235
qwen15,vietnam,36,0.111111,0.0,0.444444,0.361111,-0.083333
qwen15,zimbabwe,34,0.058824,0.0,0.382353,0.352941,-0.029412
