model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen3,afghanistan,41,0.682927,0.0,0.390244,0.414634,0.02439
qwen3,argentina,33,0.393939,0.0,0.606061,0.393939,-0.212121
qwen3,australia,25,0.48,0.0,0.48,0.36,-0.12
qwen3,austria,33,0.606061,0.0,0.515152,0.363636,-0.151515
qwen3,bangladesh,33,0.575758,0.0,0.484848,0.393939,-0.090909
qwen3,bosnia_and_herzegovina,34,0.5,0.0,0.470588,0.382353,-0.088235
qwen3,brazil,32,0.53125,0.0,0.53125,0.46875,-0.0625
qwen3,cambodia,36,0.611111,0.0,0.416667,0.333333,-0.083333
qwen3,canada,32,0.53125,0.0,0.53125,0.375,-0.15625
qwen3,chile,35,0.628571,0.0,0.485714,0.342857,-0.142857
qwen3,china,36,0.611111,0.0,0.583333,0.361111,-0.222222
qwen3,colombia,32,0.53125,0.0,0.53125,0.375,-0.15625
qwen3,croatia,35,0.514286,0.0,0.542857,0.342857,-0.2
qwen3,cyprus,35,0.485714,0.0,0.514286,0.342857,-0.171429
qwen3,egypt,35,0.6,0.0,0.514286,0.342857,-0.171429
qwen3,ethiopia,45,0.488889,0.0,0.555556,0.355556,-0.2
qwen3,fiji,21,0.571429,0.0,0.619048,0.428571,-0.190476
qwen3,france,34,0.647059,0.0,0.617647,0.352941,-0.264706
qwen3,germany,43,0.488372,0.0,0.488372,0.372093,-0.116279
qwen3,greece,34,0.676471,0.0,0.470588,0.352941,-0.117647
qwen3,hong_kong,35,0.6,0.0,0.657143,0.371429,-0.285714
qwen3,hungary,36,0.527778,0.0,0.416667,0.305556,-0.111111
qwen3,india,29,0.344828,0.0,0.517241,0.310345,-0.206897
qwen3,indonesia,26,0.5,0.0,0.423077,0.346154,-0.076923
qwen3,iran,44,0.613636,0.0,0.409091,0.363636,-0.045455
qwen3,iraq,34,0.558824,0.0,0.441176,0.352941,-0.088235
qwen3,ireland,41,0.536585,0.0,0.585366,0.390244,-0.195122
qwen3,israel,42,0.52381,0.0,0.428571,0.309524,-0.119048
qwen3,italy,34,0.470588,0.0,0.529412,0.352941,-0.176471
qwen3,japan,35,0.485714,0.0,0.542857,0.342857,-0.2
qwen3,kenya,33,0.575758,0.0,0.545455,0.363636,-0.181818
qwen3,laos,33,0.606061,0.0,0.484848,0.424242,-0.060606
qwen3,lebanon,26,0.461538,0.0,0.576923,0.346154,-0.230769
qwen3,malaysia,34,0.5,0.0,0.588235,0.352941,-0.235294
qwen3,malta,36,0.583333,0.0,0.611111,0.333333,-0.277778
qwen3,mauritius,40,0.5,0.0,0.5,0.35,-0.15
qwen3,mexico,34,0.441176,0.0,0.5,0.352941,-0.147059
qwen3,myanmar,45,0.622222,0.0,0.577778,0.333333,-0.244444
qwen3,nepal,37,0.513514,0.0,0.540541,0.324324,-0.216216
qwen3,netherlands,36,0.583333,0.0,0.611111,0.361111,-0.25
qwen3,new_zealand,42,0.428571,0.0,0.52381,0.380952,-0.142857
qwen3,north_macedonia,34,0.588235,0.0,0.558824,0.323529,-0.235294
qwen3,pakistan,35,0.457143,0.0,0.514286,0.4,-0.114286
qwen3,palestinian_territories,34,0.470588,0.0,0.617647,0.470588,-0.147059
qwen3,papua_new_guinea,34,0.588235,0.0,0.617647,0.382353,-0.235294
qwen3,peru,32,0.625,0.0,0.53125,0.375,-0.15625
qwen3,philippines,32,0.5,0.0,0.59375,0.375,-0.21875
qwen3,poland,35,0.514286,0.0,0.457143,0.371429,-0.085714
qwen3,portugal,45,0.644444,0.0,0.377778,0.311111,-0.066667
qwen3,romania,36,0.333333,0.0,0.527778,0.361111,-0.166667
qwen3,russia,35,0.514286,0.0,0.457143,0.371429,-0.085714
qwen3,samoa,36,0.555556,0.0,0.638889,0.388889,-0.25
qwen3,saudi_arabia,44,0.590909,0.0,0.477273,0.340909,-0.136364
qwen3,serbia,39,0.538462,0.0,0.512821,0.307692,-0.205128
qwen3,singapore,31,0.516129,0.0,0.645161,0.387097,-0.258065
qwen3,somalia,45,0.577778,0.0,0.488889,0.333333,-0.155556
qwen3,south_africa,36,0.444444,0.0,0.583333,0.333333,-0.25
qwen3,south_korea,27,0.592593,0.0,0.592593,0.333333,-0.259259
qwen3,south_sudan,27,0.666667,0.0,0.481481,0.333333,-0.148148
qwen3,spain,34,0.441176,0.0,0.558824,0.352941,-0.205882
qwen3,sri_lanka,35,0.514286,0.0,0.6,0.342857,-0.257143
qwen3,sudan,48,0.625,0.0,0.395833,0.3125,-0.083333
qwen3,sweden,34,0.411765,0.0,0.5,0.382353,-0.117647
qwen3,syria,18,0.722222,0.0,0.5,0.333333,-0.166667
qwen3,taiwan,32,0.5,0.0,0.625,0.375,-0.25
qwen3,thailand,39,0.512821,0.0,0.512821,0.307692,-0.205128
qwen3,timor-leste,36,0.694444,0.0,0.583333,0.333333,-0.25
qwen3,tonga,35,0.628571,0.0,0.457143,0.4,-0.057143
qwen3,türkiye,35,0.6,0.0,0.628571,0.342857,-0.285714
qwen3,ukraine,41,0.585366,0.0,0.609756,0.365854,-0.243902
qwen3,united_kingdom,27,0.37037,0.0,0.481481,0.333333,-0.148148
qwen3,united_states_of_america,42,0.333333,0.0,0.5,0.333333,-0.166667
qwen3,venezuela,34,0.441176,0.0,0.617647,0.382353,-0.235294
qwen3,vietnam,36,0.5,0.0,0.527778,0.361111,-0.166667
qwen3,zimbabwe,34,0.411765,0.0,0.617647,0.352941,-0.264706
qwen15,afghanistan,41,0.073171,0.0,0.414634,0.414634,0.0
qwen15,argentina,33,0.090909,0.0,0.424242,0.393939,-0.030303
qwen15,australia,25,0.08,0.0,0.4,0.36,-0.04
qwen15,austria,33,0.121212,0.0,0.393939,0.363636,-0.030303
qwen15,bangladesh,33,0.272727,0.0,0.606061,0.393939,-0.212121
qwen15,bosnia_and_herzegovina,34,0.029412,0.0,0.411765,0.382353,-0.029412
qwen15,brazil,32,0.1875,0.0,0.53125,0.46875,-0.0625
qwen15,cambodia,36,0.083333,0.0,0.333333,0.333333,0.0
qwen15,canada,32,0.09375,0.0,0.46875,0.375,-0.09375
qwen15,chile,35,0.057143,0.0,0.342857,0.342857,0.0
qwen15,china,36,0.166667,0.0,0.472222,0.361111,-0.111111
qwen15,colombia,32,0.15625,0.0,0.4375,0.375,-0.0625
qwen15,croatia,35,0.085714,0.0,0.4,0.342857,-0.057143
qwen15,cyprus,35,0.0,0.0,0.342857,0.342857,0.0
qwen15,egypt,35,0.114286,0.0,0.428571,0.342857,-0.085714
qwen15,ethiopia,45,0.133333,0.0,0.4,0.355556,-0.044444
qwen15,fiji,21,0.095238,0.0,0.52381,0.428571,-0.095238
qwen15,france,34,0.058824,0.0,0.411765,0.352941,-0.058824
qwen15,germany,43,0.046512,0.0,0.348837,0.372093,0.023256
qwen15,greece,34,0.088235,0.0,0.352941,0.352941,0.0
qwen15,hong_kong,35,0.114286,0.0,0.428571,0.371429,-0.057143
qwen15,hungary,36,0.083333,0.0,0.361111,0.305556,-0.055556
qwen15,india,29,0.103448,0.0,0.413793,0.310345,-0.103448
qwen15,indonesia,26,0.0,0.0,0.346154,0.346154,0.0
qwen15,iran,44,0.090909,0.0,0.386364,0.363636,-0.022727
qwen15,iraq,34,0.176471,0.0,0.441176,0.352941,-0.088235
qwen15,ireland,41,0.02439,0.0,0.390244,0.390244,0.0
qwen15,israel,42,0.142857,0.0,0.404762,0.309524,-0.095238
qwen15,italy,34,0.058824,0.0,0.411765,0.352941,-0.058824
qwen15,japan,35,0.028571,0.0,0.342857,0.342857,0.0
qwen15,kenya,33,0.181818,0.0,0.515152,0.363636,-0.151515
qwen15,laos,33,0.151515,0.0,0.454545,0.424242,-0.030303
qwen15,lebanon,26,0.115385,0.0,0.307692,0.346154,0.038462
qwen15,malaysia,34,0.088235,0.0,0.441176,0.352941,-0.088235
qwen15,malta,36,0.166667,0.0,0.444444,0.333333,-0.111111
qwen15,mauritius,40,0.075,0.0,0.375,0.35,-0.025
qwen15,mexico,34,0.117647,0.0,0.411765,0.352941,-0.058824
qwen15,myanmar,45,0.088889,0.0,0.377778,0.333333,-0.044444
qwen15,nepal,37,0.081081,0.0,0.378378,0.324324,-0.054054
qwen15,netherlands,36,0.055556,0.0,0.416667,0.361111,-0.055556
qwen15,new_zealand,42,0.071429,0.0,0.428571,0.380952,-0.047619
qwen15,north_macedonia,34,0.117647,0.0,0.352941,0.323529,-0.029412
qwen15,pakistan,35,0.171429,0.0,0.457143,0.4,-0.057143
qwen15,palestinian_territories,34,0.088235,0.0,0.529412,0.470588,-0.058824
qwen15,papua_new_guinea,34,0.088235,0.0,0.441176,0.382353,-0.058824
qwen15,peru,32,0.03125,0.0,0.375,0.375,0.0
qwen15,philippines,32,0.09375,0.0,0.4375,0.375,-0.0625
qwen15,poland,35,0.171429,0.0,0.485714,0.371429,-0.114286
