country,total,correct,accuracy
afghanistan,41,17,0.414634
argentina,33,13,0.393939
australia,25,9,0.36
austria,33,12,0.363636
bangladesh,33,13,0.393939
bosnia_and_herzegovina,34,13,0.382353
brazil,32,15,0.46875
cambodia,36,12,0.333333
canada,32,12,0.375
chile,35,12,0.342857
china,36,13,0.361111
colombia,32,12,0.375
croatia,35,12,0.342857
cyprus,35,12,0.342857
egypt,35,12,0.342857
ethiopia,45,16,0.355556
fiji,21,9,0.428571
france,34,12,0.352941
germany,43,16,0.372093
greece,34,12,0.352941
hong_kong,35,13,0.371429
hungary,36,11,0.305556
india,29,9,0.310345
indonesia,26,9,0.346154
iran,44,16,0.363636
iraq,34,12,0.352941
ireland,41,16,0.390244
israel,42,13,0.309524
italy,34,12,0.352941
japan,35,12,0.342857
kenya,33,12,0.363636
laos,33,14,0.424242
lebanon,26,9,0.346154
malaysia,34,12,0.352941
malta,36,12,0.333333
mauritius,40,14,0.35
mexico,34,12,0.352941
myanmar,45,15,0.333333
nepal,37,12,0.324324
netherlands,36,13,0.361111
new_zealand,42,16,0.380952
north_macedonia,34,11,0.323529
pakistan,35,14,0.4
palestinian_territories,34,16,0.470588
papua_new_guinea,34,13,0.382353
peru,32,12,0.375
philippines,32,12,0.375
poland,35,13,0.371429
portugal,45,14,0.311111
romania,36,13,0.361111
russia,35,13,0.371429
samoa,36,14,0.388889
saudi_arabia,44,15,0.340909
serbia,39,12,0.307692
singapore,31,12,0.387097
somalia,45,15,0.333333
south_africa,36,12,0.333333
south_korea,27,9,0.333333
south_sudan,27,9,0.333333
spain,34,12,0.352941
sri_lanka,35,12,0.342857
sudan,48,15,0.3125
sweden,34,13,0.382353
syria,18,6,0.333333
taiwan,32,12,0.375
thailand,39,12,0.307692
timor-leste,36,12,0.333333
tonga,35,14,0.4
türkiye,35,12,0.342857
ukraine,41,15,0.365854
united_kingdom,27,9,0.333333
united_states_of_america,42,14,0.333333
venezuela,34,13,0.382353
vietnam,36,13,0.361111
zimbabwe,34,12,0.352941
