model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen3,argentina,33,0.606061,0.0,0.757576,0.393939,-0.363636
qwen3,australia,25,0.72,0.0,0.8,0.36,-0.44
qwen3,austria,33,0.727273,0.0,0.69697,0.363636,-0.333333
qwen3,bangladesh,33,0.757576,0.0,0.727273,0.393939,-0.333333
qwen3,bosnia_and_herzegovina,34,0.823529,0.0,0.617647,0.382353,-0.235294
qwen3,brazil,32,0.75,0.0,0.59375,0.46875,-0.125
qwen3,cambodia,36,0.805556,0.0,0.75,0.333333,-0.416667
qwen3,canada,32,0.75,0.0,0.6875,0.375,-0.3125
qwen3,chile,35,0.857143,0.0,0.571429,0.342857,-0.228571
qwen3,china,36,0.638889,0.0,0.694444,0.361111,-0.333333
qwen3,colombia,32,0.625,0.0,0.71875,0.375,-0.34375
qwen3,croatia,35,0.685714,0.0,0.8,0.342857,-0.457143
qwen3,cyprus,35,0.685714,0.0,0.771429,0.342857,-0.428571
qwen3,egypt,35,0.742857,0.0,0.771429,0.342857,-0.428571
qwen3,ethiopia,45,0.688889,0.0,0.6,0.355556,-0.244444
qwen3,fiji,21,0.714286,0.0,0.761905,0.428571,-0.333333
qwen3,france,34,0.676471,0.0,0.735294,0.352941,-0.382353
qwen3,germany,43,0.744186,0.0,0.651163,0.372093,-0.27907
qwen3,greece,34,0.823529,0.0,0.705882,0.352941,-0.352941
qwen3,hong_kong,35,0.685714,0.0,0.685714,0.371429,-0.314286
qwen3,hungary,36,0.833333,0.0,0.666667,0.305556,-0.361111
qwen3,india,29,0.655172,0.0,0.827586,0.310345,-0.517241
qwen3,indonesia,26,0.730769,0.0,0.653846,0.346154,-0.307692
qwen3,iran,44,0.818182,0.0,0.522727,0.363636,-0.159091
qwen3,iraq,34,0.852941,0.0,0.647059,0.352941,-0.294118
qwen3,ireland,41,0.731707,0.0,0.756098,0.390244,-0.365854
qwen3,israel,42,0.738095,0.0,0.738095,0.309524,-0.428571
qwen3,italy,34,0.676471,0.0,0.705882,0.352941,-0.352941
qwen3,japan,35,0.685714,0.0,0.657143,0.342857,-0.314286
qwen3,kenya,33,0.727273,0.0,0.606061,0.363636,-0.242424
qwen3,laos,33,0.727273,0.0,0.757576,0.424242,-0.333333
qwen3,lebanon,26,0.653846,0.0,0.884615,0.346154,-0.538462
qwen3,malaysia,34,0.705882,0.0,0.647059,0.352941,-0.294118
qwen3,malta,36,0.75,0.0,0.75,0.333333,-0.416667
qwen3,mauritius,40,0.8,0.0,0.775,0.35,-0.425
qwen3,mexico,34,0.676471,0.0,0.676471,0.352941,-0.323529
qwen3,myanmar,45,0.777778,0.0,0.555556,0.333333,-0.222222
qwen3,nepal,37,0.72973,0.0,0.72973,0.324324,-0.405405
qwen3,netherlands,36,0.694444,0.0,0.722222,0.361111,-0.361111
qwen3,new_zealand,42,0.690476,0.0,0.666667,0.380952,-0.285714
qwen3,north_macedonia,34,0.764706,0.0,0.705882,0.323529,-0.382353
qwen3,pakistan,35,0.714286,0.0,0.657143,0.4,-0.257143
qwen3,palestinian_territories,34,0.676471,0.0,0.647059,0.470588,-0.176471
qwen3,papua_new_guinea,34,0.676471,0.0,0.823529,0.382353,-0.441176
qwen3,peru,32,0.6875,0.0,0.6875,0.375,-0.3125
qwen3,philippines,32,0.6875,0.0,0.71875,0.375,-0.34375
qwen3,poland,35,0.714286,0.0,0.8,0.371429,-0.428571
qwen3,portugal,45,0.777778,0.0,0.6,0.311111,-0.288889
qwen3,romania,36,0.555556,0.0,0.75,0.361111,-0.388889
qwen3,russia,35,0.714286,0.0,0.685714,0.371429,-0.314286
qwen3,samoa,36,0.638889,0.0,0.75,0.388889,-0.361111
qwen3,saudi_arabia,44,0.795455,0.0,0.704545,0.340909,-0.363636
qwen3,serbia,39,0.74359,0.0,0.692308,0.307692,-0.384615
qwen3,singapore,31,0.709677,0.0,0.709677,0.387097,-0.322581
qwen3,somalia,45,0.822222,0.0,0.711111,0.333333,-0.377778
qwen3,south_africa,36,0.694444,0.0,0.777778,0.333333,-0.444444
qwen3,south_korea,27,0.703704,0.0,0.666667,0.333333,-0.333333
qwen3,south_sudan,27,0.814815,0.0,0.62963,0.333333,-0.296296
qwen3,spain,34,0.617647,0.0,0.794118,0.352941,-0.441176
qwen3,sri_lanka,35,0.657143,0.0,0.771429,0.342857,-0.428571
qwen3,sudan,48,0.875,0.0,0.583333,0.3125,-0.270833
qwen3,sweden,34,0.617647,0.0,0.647059,0.382353,-0.264706
qwen3,syria,18,0.888889,0.0,0.611111,0.333333,-0.277778
qwen3,taiwan,32,0.625,0.0,0.84375,0.375,-0.46875
qwen3,thailand,39,0.717949,0.0,0.692308,0.307692,-0.384615
qwen3,timor-leste,36,0.805556,0.0,0.694444,0.333333,-0.361111
qwen3,tonga,35,0.857143,0.0,0.571429,0.4,-0.171429
qwen3,türkiye,35,0.714286,0.0,0.714286,0.342857,-0.371429
qwen3,ukraine,41,0.682927,0.0,0.756098,0.365854,-0.390244
qwen3,united_kingdom,27,0.666667,0.0,0.703704,0.333333,-0.37037
qwen3,united_states_of_america,42,0.619048,0.0,0.761905,0.333333,-0.428571
qwen3,venezuela,34,0.705882,0.0,0.676471,0.382353,-0.294118
qwen3,vietnam,36,0.75,0.0,0.638889,0.361111,-0.277778
qwen3,zimbabwe,34,0.647059,0.0,0.794118,0.352941,-0.441176
