model,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen15,2633,0.528675,0.0,0.643752,0.358147,-0.285606
qwen3,2633,0.727307,0.0,0.698443,0.358147,-0.340296
